id,TotalStreamCounts,PeakStreamCounts,PeakPosition
1TJtZKZFq2rdh9Wfpm15Nw,788186.0,49535.0,18.0
1TcmqSx576eBcuTxTtcEAk,2855546.0,60053.0,37.0
1UDAnignfiklanSQ6MfPUE,108126.0,17136.0,58.0
1UL2QMgWPeNCJhznvr99Jk,405351.0,6164.0,116.0
1UQNU5O9VttUgO16pxUnjw,8488888.0,49882.0,47.0
1Vla7vXcM0zimotYpresDT,10331925.0,89710.0,6.0
1W5kZCi3DyAwUu1flTIHdZ,184281.0,19304.0,137.0
1WCAkmmTM06in2ojuQ9CK5,1556438.0,46942.0,6.0
1X0cRJUAsFhEnaBhs4H7Yj,80352.0,9740.0,72.0
1XEOrZGHhmBxYciyWkkrs3,397912.0,33423.0,33.0
1ZSwYD21wiQCx3VYrnQHMm,317790.0,34497.0,54.0
1ZgiJ8fiSEwd07OpB9ZuRz,3817754.0,63697.0,12.0
1ZrADntHAYV84R2y1Op3Eg,2288853.0,16895.0,1.0
1ahMIChLwnLRGDu5AhMWZI,483420.0,28963.0,131.0
1aw1KeS9sT1mKPzs2hfqCz,750596.0,3950.0,130.0
1bG6Q8sR8jda7ryI365y8o,32777815.0,250035.0,1.0
1bRsQtD0IJN7D0aCslMg44,332193.0,29675.0,44.0
1dMJhYvyH7I4RGcLUWAg3p,76234.0,1876.0,26.0
1dUmmBh2nw8XzEI3au0uFs,21348688.0,44136.0,3.0
1eXc2ZMStMsQ5cuUrFCnlO,622468.0,25091.0,75.0
1efLujNOuRkB1zwpNKGeea,91408.0,8701.0,74.0
1fFvYVg1v3rpUSqKNCUh7b,655789.0,22351.0,126.0
1fMLlneaBGENo5jhG1nZrM,39246.0,4818.0,109.0
1hyDeosKOqqI4YcqFgzNlQ,319644.0,16375.0,75.0
1izPmgSW7FV6XFdEOiTvOY,24034687.0,40009.0,25.0
1j18WxScysqcVZnCSc90nV,25283.0,10868.0,78.0
1jtrGtWxnZUeKtSN4Xxh1e,330822.0,6702.0,156.0
1lNJbioKb7Zue9sf2wcaWN,63588.0,6503.0,85.0
1m4BSQjgXAfoR4dBAapAr7,3813688.0,26944.0,108.0
1mKDbug8bbfDmLe7I4CJpe,20780310.0,33236.0,1.0
1n5vwy1usk9prr2Yuh9Lt8,87029.0,9286.0,63.0
1nut0CDNqlXFtV4U3Md5ds,278247.0,11951.0,74.0
1o6cYDMHvKOfizi4d9Lqxr,33642969.0,106957.0,3.0
1ojUtV3R0T0fKfFaAiCT2S,35492.0,5398.0,146.0
1pJ2smpPxbfAYqPsrbcXFP,43822.0,4433.0,104.0
1pQHqk6qWM5xbNeobMCGBZ,3366128.0,43144.0,2.0
1pwyiEOvhXLvlpzTZcgfhe,1542538.0,47257.0,40.0
1rCurScVWswOm8jVmCOLxn,86256.0,9345.0,93.0
1rJyVbXb3njXbN3lokllKf,523210.0,4244.0,107.0
1reHbbphR273qQ651F6Vna,231266.0,7130.0,3.0
1u3aGopt09bxmUDs8c94XY,827730.0,21468.0,156.0
1vtQjPCcdE7FgrxQd5doWP,1184689.0,9067.0,92.0
1w3eUC89GPspKpi62tPwjt,22035041.0,42189.0,2.0
1wG0HYACxdu3Kdz3mI4ca6,521282.0,32860.0,101.0
1wl7BgRuEYJfmINb0ncS5b,222221.0,6395.0,114.0
1wmYHps3Ww2wfG6FEmjzuX,58432.0,3676.0,40.0
1xoadYaxtOp9gHDwgmPDuz,38301015.0,54316.0,2.0
1yo967mk7CpjvruNxBecOY,9700225.0,38419.0,19.0
1zzCiwKpbS6zNC3OAdejd2,5142267.0,87857.0,13.0
20jc2qrUesWnyDYnWq0XW8,2152893.0,31563.0,120.0
21x7Ld7I7X7HQtDgS8al5Z,2481459.0,68692.0,26.0
226ljdOTLM2clGpm4mZvAm,10268567.0,86274.0,13.0
229P16G6GFOCDUNiUNusc4,292797.0,43888.0,62.0
22oXPVbCf30gA4uMIvPvpP,265146.0,12388.0,88.0
23SUnSd024ACX7u1AUXsGc,6159703.0,87366.0,4.0
24eClW0wZh5fFEFwsUWdSG,5483006.0,85734.0,13.0
