id,TotalStreamCounts,PeakStreamCounts,PeakPosition
2mYjBkAtCUXRG2ioQmv3Rm,99596.0,59382.0,96.0
2naHX4cacns359w3ugyt3P,3976311.0,367774.0,48.0
2o4dDfLK6NVI7TjBm5VoMv,19375933.0,239904.0,33.0
2oVLEoBVDvYrGmzrU7dEm5,17370661.0,1032397.0,5.0
2qWP5ZarXRsdmxzz3L3BtP,17485460.0,227149.0,27.0
2qc4FFBylFT5YhvMJMX50R,2574824.0,352882.0,45.0
2rDtJL39iMme6RgWnETEWP,318745.0,166678.0,157.0
2sJZUN3ymHgsLCqGCbszBJ,427439.0,77684.0,9.0
2tAd0IDLH3nE8gJlxuB1bt,51265.0,21886.0,14.0
2tZjAcLcg7k0p0c1wA3Ggk,218773.0,132493.0,93.0
2tg8L2ls1k19B2SvRKBnJh,2380351.0,173349.0,13.0
2uZmeuNAxSm7XfVIwLkhCx,24345083.0,470432.0,14.0
2vRkwfiy4Se8ddUSkdMTmQ,211004.0,117195.0,49.0
2xOhv7XudrBDtkID1jwsFE,26117240.0,1159599.0,2.0
2xOhv7XudrBDtkID1jwsFE,26117240.0,175619.0,2.0
2zRzmGerfTxc2epZHgaTdh,18162497.0,215663.0,35.0
307iMiCYAKX6sUG7P4UKWt,8003209.0,213291.0,7.0
30CXPFiHrPmKxAxPpiMlLw,814385.0,214009.0,118.0
31Rxc3kfQjI7WpaRKskQs2,306823.0,29530.0,100.0
31VNCmwspR7nVJ6kruUuJt,36101744.0,3445288.0,1.0
31VNCmwspR7nVJ6kruUuJt,36101744.0,689902.0,1.0
32K6zBYFUUxKrdsoZd7k3v,1006178.0,36154.0,115.0
33S16Xa5cZmLPhn6eZI4Nm,7096367.0,267489.0,83.0
33SYx5viijwLGMqfl50FKI,1807153.0,258833.0,25.0
33dIUFKBA7U5KHs1fdBw8b,128325.0,128325.0,104.0
33weHbON0j21ZPUMc0ZKTt,2763657.0,110063.0,15.0
3440g8awr2l0E5Yy2X5Epk,22398648.0,455060.0,3.0
34uOIsoy6ETS2sxOTWBRDF,6503373.0,825252.0,1.0
35gc5FTZehQ5DF2BI6wkgf,3894736.0,585958.0,27.0
36OyVzUmUFb1MTTzy3YXbh,7849758.0,964968.0,3.0
36fgG6NiEuQXznNgf5y2Ck,4046522.0,470300.0,31.0
37GNTP4wB0QSkUwcTWLHKg,1290668.0,134735.0,53.0
37KEMM9tMw5Tb5GWlBmOVM,236872.0,118692.0,187.0
37PyxXH5vlbNcYwxOHbfFn,118618.0,64081.0,141.0
