id,date,vn_position,vn_stream_count,global_position,global_stream_count
0ZJcKRLc0dZp24G6MkvSnq,Total,,41431.0,,
0ZJcKRLc0dZp24G6MkvSnq,Peak,62.0,10577.0,,
0ZP4bO2ywAv44HiEzzHaq5,Total,,9587533.0,,
0ZP4bO2ywAv44HiEzzHaq5,Peak,2.0,274020.0,,
0aOOB0EuwnWuoAqzR4THA9,Total,,485460.0,,
0aOOB0EuwnWuoAqzR4THA9,Peak,22.0,113698.0,,
0b3N9S5FHJ4h9k7IsKDVSy,Total,,743644.0,,
0b3N9S5FHJ4h9k7IsKDVSy,Peak,100.0,45587.0,,
0bgJPIvefuRnEU4MNJuJSA,Total,,4707264.0,,
0bgJPIvefuRnEU4MNJuJSA,Peak,2.0,506807.0,,
0bqiS4Vi6vWtOj9woYfAJM,Total,,267509.0,,
0bqiS4Vi6vWtOj9woYfAJM,Peak,112.0,166639.0,,
0d0X8B4ZahEeCBdJ6JHPeN,Total,,48675.0,,
0d0X8B4ZahEeCBdJ6JHPeN,Peak,198.0,48675.0,,
0d6dbFvKczX1Us3J7TsMMv,Total,,8656000.0,,
0d6dbFvKczX1Us3J7TsMMv,Peak,8.0,192270.0,,
0dAAZHmjRcE3yEjeBZQvCg,Total,,1177507.0,,
0dAAZHmjRcE3yEjeBZQvCg,Peak,32.0,235573.0,,
0dBKcPEAsdxWJsqNDNHcPz,Total,,9050189.0,,
0dBKcPEAsdxWJsqNDNHcPz,Peak,16.0,533946.0,,
0dHUKYXP9PJMN0RpR9dpFR,Total,,6744922.0,,
0dHUKYXP9PJMN0RpR9dpFR,Peak,3.0,269420.0,,
0e6fZkLArSmDIHnZcIua7t,Total,,11666424.0,,
0e6fZkLArSmDIHnZcIua7t,Peak,19.0,715983.0,,
0e6fZkLArSmDIHnZcIua7t,Peak,14.0,110052.0,,
0eM8iGaE97UCf9yYbDiMA4,Total,,578694.0,,
0eM8iGaE97UCf9yYbDiMA4,Peak,117.0,163578.0,,
0ezCZF82GYZFV1W6W1os7N,Total,,3492652.0,,
0ezCZF82GYZFV1W6W1os7N,Peak,10.0,599202.0,,
0f4VzzQxojITMkyHY6LCci,Total,,419140.0,,
0f4VzzQxojITMkyHY6LCci,Peak,132.0,148223.0,,
0g7d8Y9Y2BP8qFZDzngnSz,Total,,858005.0,,
0g7d8Y9Y2BP8qFZDzngnSz,Peak,59.0,216417.0,,
0gKSm3EHJhyFeolcmO6mYS,Total,,85516.0,,
0gKSm3EHJhyFeolcmO6mYS,Peak,185.0,43906.0,,
0glDqpRJ9WyPHI1AXk0GcD,Total,,30506.0,,
0glDqpRJ9WyPHI1AXk0GcD,Peak,185.0,30506.0,,
0glPN37HvVqCUh1qCWBKo7,Total,,344288.0,,
0glPN37HvVqCUh1qCWBKo7,Peak,23.0,145807.0,,
0gzpqwLf1jhNjnSJEyweAX,Total,,21153097.0,,
0gzpqwLf1jhNjnSJEyweAX,Peak,12.0,445790.0,,
0hGuiTI3U6XjelBbPf4YqG,Total,,364307.0,,
0hGuiTI3U6XjelBbPf4YqG,Peak,53.0,59999.0,,
0hiQvlWSSTr7n1kc1X2Lus,Total,,18430466.0,,
0hiQvlWSSTr7n1kc1X2Lus,Peak,59.0,220297.0,,
0hmRGjLznEdlzBf80x37Xt,Total,,48048.0,,
0hmRGjLznEdlzBf80x37Xt,Peak,179.0,20285.0,,
0ibp5h8QATkvC6P5cO5TUV,Total,,4886508.0,,
0ibp5h8QATkvC6P5cO5TUV,Peak,29.0,183675.0,,
0jV9S5sUnQSEvwMSXQ2u4l,Total,,793854.0,,
0jV9S5sUnQSEvwMSXQ2u4l,Peak,45.0,215305.0,,
0kHgteR4TV4LO80wrasDSR,Total,,27025615.0,,
0kHgteR4TV4LO80wrasDSR,Peak,5.0,875706.0,,
0ljbDAWHXvX6Fbqy2qs98U,Total,,1426952.0,,
0ljbDAWHXvX6Fbqy2qs98U,Peak,7.0,144562.0,,
0mc8HGMSYoMxRuJma5bslY,Total,,46708.0,,
