album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
"Trạm 4: Xuân Hạ Thu Đông, rồi lại Xuân 2",album,36,"['Forest Studio', 'Hứa Kim Tuyền']",1,260000,False,6o5Ffl7j0JyvluRURL6jW7,Anh Sẽ Đến Cùng Cơn Mưa - Live Ver. at XHTĐRLX,25,7,2022-11-25,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",165024.0
nắng ngoài sân (song for 'pamyeuoi'),single,15,['Hứa Kim Tuyền'],1,219230,False,2OBrsmkmlaBduyjnLMZft2,nắng ngoài sân (song for 'pamyeuoi'),24,1,2023-12-15,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",306631.0
Mưa Tháng Sáu,single,17,"['Trung Quân', 'Hứa Kim Tuyền']",1,260833,False,4tMlbwlC4nFSonydYhRaZj,MƯA THÁNG SÁU - solo version,24,3,2023-06-12,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",506964.0
"Trạm 2: Xuân Hạ Thu Đông, rồi lại Xuân 2",album,36,"['Forest Studio', 'Hứa Kim Tuyền']",1,220000,False,5TAH5b4tcaUOUHpuBfuDKQ,213 (2 Người 1 Nhà 3 Con Mèo) - Live Ver. at XHTĐRLX,23,3,2022-11-10,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",205265.0
Về Nghe Mẹ Ru,single,14,"['NSND Bach Tuyet', 'Hứa Kim Tuyền', '14 Casper', 'Hoàng Dũng']",1,224347,False,2MT5rzYA4ZPCRZlbXyV660,Về Nghe Mẹ Ru,23,1,2022-04-09,"['vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese bolero', 'vietnamese lo-fi']",797353.0
Anh Chẳng Thoát Được Đâu (Lover Hunter),single,12,"['Mỹ Mỹ', 'Hứa Kim Tuyền', 'WOKEUP']",1,183000,False,5EvSo3exT16afUMHdEuRQH,Anh Chẳng Thoát Được Đâu (Lover Hunter),21,1,2024-06-07,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",176042.0
"Xuân Hạ Thu Đông, rồi lại Xuân (Tập 10)",single,22,"['Forest Studio', 'Hứa Kim Tuyền']",1,296500,False,7t8wRuGD2jESSvQpY33aRt,Sài Gòn Đau Lòng Quá - Live at XHTĐRLX,20,5,2021-03-25,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",579436.0
10 Ngàn Năm,single,46,['PC'],1,240000,False,2pm7K14nHj2fLrpU8j9bit,10 Ngàn Năm,56,1,2019-12-21,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",25350671.0
Ghé Qua,single,46,"['PC', 'Dick', 'tofutns']",1,237192,False,6Q2oEdOhRjZ1DTv2a7j0lN,Ghé Qua,55,1,2018-03-17,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",25340523.0
Như Anh Mơ,single,34,['PC'],1,358413,False,2Ti32WoZYAAikJwwIVAVBE,Như Anh Mơ,44,1,2020-03-16,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",7446806.0
Bài Học Quý Giá,single,31,['PC'],1,275084,False,5CDDI7NsITmyJI6hgvXBAd,Bài Học Quý Giá,41,1,2025-01-22,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",175540.0
Dalatmango,single,23,['PC'],1,168097,False,0UnletFQ367v2Edb54zxei,Dalatmango,33,1,2019-04-19,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",1184838.0
Ghé Qua (Rapcoustic),single,21,"['PC', 'Dick', 'tofutns']",1,239513,False,4FMYQP9dwnky2pGOjBalkG,Ghé Qua (Rapcoustic),30,1,2019-02-15,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",1656757.0
Mắt Biếc,single,17,"['Tùng TeA', 'PC', 'VoVanDuc']",1,226794,False,2D9Skd7zBKsM1o7VfhrYiP,Mắt Biếc,26,1,2016-07-13,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",1062162.0
TẾT HIỀN,single,22,"['B-Wine', 'PC']",1,215384,False,3hOLUyPn0ENHRPlmHyjhQe,TẾT HIỀN,25,1,2025-01-11,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",25833.0
Ngẫu Nhiên,single,14,"['PC', 'tofutns', 'VoVanDuc']",1,187703,False,1EwXuQy31s3mRjxX20dMKv,Ngẫu Nhiên,23,1,2018-10-18,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",354361.0
Hương Hồng Hoa,single,12,"['tofutns', 'PC']",1,215064,False,74REipH1Kl7sA8gigRNzYX,Hương Hồng Hoa,21,1,2021-03-20,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",661058.0
4GetU (Remake),single,11,"['PC', 'Specter']",1,180000,False,2WAMiHmPefJNaptBMDjbhX,4GetU (Remake),20,1,2024-08-25,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",62350.0
Phiến Phiến,single,9,"['Tùng TeA', 'PC']",1,229629,False,59H4ijWWxBIsO6zx7Dv5D5,Phiến Phiến (feat. PC),17,1,2021-04-20,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",164094.0
Ai Rồi Cũng Bỏ Đi,single,7,['PC'],1,180293,False,568p53f4fzSv4CFzEg8j8v,Ai Rồi Cũng Bỏ Đi,14,1,2020-04-19,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",329545.0
Một Thuở Thanh Bình (PC Remake),single,7,"['Tùng TeA', 'PC']",1,253831,False,1tpVpFDqzBQm5qHpwGdw1V,Một Thuở Thanh Bình (PC Remake),14,1,2017-12-19,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",1402012.0
Futape,single,14,"['tofutns', 'PC']",1,230263,False,6PR6Tbpb19FEMoyShs24tZ,Chỉ là người quan sát,14,2,2023-10-27,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",61417.0
DIEUEMMUON,single,7,"['PC', 'NVM']",1,192000,False,4yJiuM2ZTrA8eammQ2njPI,DIEUEMMUON,14,1,2021-07-08,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",198356.0
